AFG,1990,6823350
ALB,1990,180284
DZA,1990,921727
ASM,1990,2041
AND,1990,3792
AGO,1990,824942
AIA,1990,2047
ATG,1990,21753
ARG,1990,430169
ARM,1990,899649
ABW,1990,10596
AUS,1990,303696
AUT,1990,506088
AZE,1990,1634081
BHS,1990,25182
BHR,1990,12820
BGD,1990,5451831
BRB,1990,84931
BLR,1990,1767606
BEL,1990,365360
BLZ,1990,36117
BEN,1990,234314
BMU,1990,71702
BTN,1990,28465
BOL,1990,224693
BIH,1990,861766
BWA,1990,26053
BRA,1990,500392
VGB,1990,3094
BRN,1990,26323
BGR,1990,613093
BFA,1990,1021332
BDI,1990,337118
CPV,1990,91368
KHM,1990,355430
CMR,1990,115853
CAN,1990,998163
CYM,1990,373
CAF,1990,46362
TCD,1990,336802
CHI,1990,18726
CHL,1990,493026
CHN,1990,4231648
HKG,1990,551080
MAC,1990,95648
COL,1990,1009935
COM,1990,40083
COG,1990,96372
COK,1990,17488
CRI,1990,69711
CIV,1990,366348
HRV,1990,425807
CUB,1990,835796
CUW,1990,43190
CYP,1990,174378
CZE,1990,277260
PRK,1990,39784
COD,1990,436526
DNK,1990,201761
DJI,1990,5308
DMA,1990,42437
DOM,1990,466216
ECU,1990,214008
EGY,1990,1322178
SLV,1990,1242075
GNQ,1990,36178
ERI,1990,170603
EST,1990,113905
SWZ,1990,35181
ETH,1990,1689955
FLK,1990,260
FRO,1990,7520
FJI,1990,90166
FIN,1990,250765
FRA,1990,1215895
GUF,1990,2844
PYF,1990,3149
GAB,1990,15352
GMB,1990,36280
GEO,1990,919454
DEU,1990,2929448
GHA,1990,371162
GIB,1990,11994
GRC,1990,1022459
GRL,1990,9510
GRD,1990,43249
GLP,1990,5828
GUM,1990,1376
GTM,1990,348332
GIN,1990,352763
GNB,1990,55409
GUY,1990,233731
HTI,1990,528873
HND,1990,156594
HUN,1990,387514
ISL,1990,17621
IND,1990,6623177
IDN,1990,1638365
IRN,1990,631339
IRQ,1990,1506702
IRL,1990,917286
IMN,1990,10735
ISR,1990,281597
ITA,1990,3351006
JAM,1990,589010
JPN,1990,608921
JOR,1990,313997
KAZ,1990,2971639
KEN,1990,250340
KIR,1990,4053
KWT,1990,81611
KGZ,1990,522578
LAO,1990,483021
LVA,1990,215134
LBN,1990,509323
LSO,1990,191339
LBR,1990,516886
LBY,1990,76256
LIE,1990,3428
LTU,1990,341050
LUX,1990,36141
MDG,1990,59424
MWI,1990,143437
MYS,1990,562762
MDV,1990,2193
MLI,1990,647436
MLT,1990,110746
MHL,1990,1426
MTQ,1990,11041
MRT,1990,134488
MUS,1990,110708
MYT,1990,1835
MEX,1990,4395365
FSM,1990,7714
MCO,1990,4479
MNG,1990,24466
MNE,1990,77384
MSR,1990,7188
MAR,1990,1748251
MOZ,1990,2222369
MMR,1990,685310
NAM,1990,16079
NRU,1990,1419
NPL,1990,748060
NLD,1990,723638
NCL,1990,4151
NZL,1990,388173
NIC,1990,442126
NER,1990,149779
NGA,1990,446806
NIU,1990,5860
MKD,1990,432296
MNP,1990,2525
NOR,1990,138536
OMN,1990,12535
PAK,1990,3343328
PLW,1990,2958
PAN,1990,134743
PNG,1990,3111
PRY,1990,297979
PER,1990,314854
PHL,1990,2033684
POL,1990,1510415
PRT,1990,1873457
PRI,1990,1200821
QAT,1990,12204
KOR,1990,1624729
MDA,1990,625683
REU,1990,3087
ROU,1990,813066
RUS,1990,12662893
RWA,1990,547718
SHN,1990,884
KNA,1990,20714
LCA,1990,22005
SPM,1990,485
VCT,1990,37049
WSM,1990,74861
SMR,1990,1419
STP,1990,13977
SAU,1990,107166
SEN,1990,370263
SRB,1990,742547
SYC,1990,35633
SLE,1990,61854
SGP,1990,156468
SXM,1990,14823
SVK,1990,133006
SVN,1990,91496
SLB,1990,2212
SOM,1990,848067
ZAF,1990,308303
SSD,1990,514943
ESP,1990,1439019
LKA,1990,885951
PSE,1990,1813063
SDN,1990,584940
SUR,1990,179870
SWE,1990,206848
CHE,1990,326276
SYR,1990,621881
TJK,1990,537701
THA,1990,311308
TLS,1990,11261
TGO,1990,193830
TKL,1990,1684
TON,1990,32666
TTO,1990,197521
TUN,1990,465576
TUR,1990,2640033
TKM,1990,259987
TCA,1990,2311
TUV,1990,2350
UGA,1990,311602
UKR,1990,5545760
ARE,1990,79545
GBR,1990,3794333
TZA,1990,203070
USA,1990,1739233
VIR,1990,2362
URY,1990,237486
UZB,1990,1428020
VUT,1990,5060
VEN,1990,185946
VNM,1990,1237873
WLF,1990,6484
ESH,1990,168239
YEM,1990,455492
ZMB,1990,85203
ZWE,1990,204365
AFG,1995,3716077
ALB,1995,501142
DZA,1995,979704
ASM,1995,2638
AND,1995,4192
AGO,1995,688660
AIA,1995,2566
ATG,1995,27682
ARG,1995,481996
ARM,1995,901872
ABW,1995,10747
AUS,1995,344311
AUT,1995,490849
AZE,1995,1712211
BHS,1995,29686
BHR,1995,26016
BGD,1995,5425050
BRB,1995,89921
BLR,1995,1736499
BEL,1995,376028
BLZ,1995,41959
BEN,1995,275696
BMU,1995,42600
BTN,1995,117971
BOL,1995,283540
BIH,1995,1372534
BWA,1995,23320
BRA,1995,751469
VGB,1995,4242
BRN,1995,35052
BGR,1995,649577
BFA,1995,1215666
BDI,1995,540567
